Dog Name,Primary Breed,Approval Date,Dog Tag Number
Bodhi (formerly known as Boo),"Mixed Breed, Medium (up to 44 lbs fully grown)",4/5/2023,
Equiano Mordecai Barnes-Driskell,"Schnauzer, Miniature",4/5/2023,35537
Sugar (was called Ivy at Shelter before we rescued her),Beagle,4/5/2023,35532
Buna,"Retriever, Golden",4/5/2023,35539
Baxter,"Mixed Breed, Large (over 44 lbs fully grown)",4/6/2023,35527
Paco,"Mixed Breed, Large (over 44 lbs fully grown)",4/6/2023,35530
Pinda,"Dachshund, Miniature Smooth Haired",4/6/2023,33157
Moose,"Retriever, Labrador",4/6/2023,35526
Bruce,Boxer,4/6/2023,35529
Hendrix,Mix,4/6/2023,35531
Chop Lewis,Mix,4/6/2023,35528
Rosie,Australian Cattle Dog,4/7/2023,35523
Holly,"Mixed Breed, Medium (up to 44 lbs fully grown)",4/7/2023,35525
La Sheila Sapphire Centeno,Xoloitzcuintli,4/7/2023,35521
Suzie,Beagle,4/7/2023,
Pickles,"Spaniel, Cavalier King Charles",4/7/2023,35522
Winston,"Poodle, Standard",4/7/2023,
Bonnie,Havanese,4/7/2023,33116
Roci,"Poodle, Standard",4/7/2023,35524
Luna,Retriever,4/7/2023,35520
Hazel,"Bulldog, French",4/7/2023,
Harper,Shih Tzu,4/10/2023,33221
Daisy,"Mixed Breed, Medium (up to 44 lbs fully grown)",4/10/2023,
Mitch,Feist,4/10/2023,34399
Apollo,"Coonhound, Black and Tan",4/10/2023,
Tucker,"Retriever, Flat-Coated",4/12/2023,35519
Franklin,"Retriever, Labrador",4/12/2023,35502
Otto,"Dachshund, Miniature Smooth Haired",4/12/2023,35516
Rosie,"Vizsla, Smooth Haired",4/12/2023,35513
Hazel,"Retriever, Labrador",4/12/2023,35503
Bella,Shih Tzu,4/12/2023,35508
Quinn,Mix,4/12/2023,35509
Loca,"Terrier, American Pit Bull",4/12/2023,35512
Bat,Italian Greyhound,4/12/2023,35505
Tyson,"Terrier, Pit Bull",4/12/2023,36999
Lou,Shiloh Shepherd,4/12/2023,35501
Josie,Mix,4/12/2023,
Stella,Chihuahua,4/12/2023,35517
Polo,"Poodle, Standard",4/12/2023,35511
Susie Surprise,"Terrier, Australian",4/12/2023,35515
Roo,Australian Cattle Dog,4/12/2023,35507
Arthur,Bernese Mountain Dog,4/12/2023,37000
Ringo,Alaskan Malamute,4/12/2023,36997
Benji,Beagle,4/12/2023,35514
Pearl,Border Collie,4/12/2023,36998
Zoe Scout,"Schnauzer, Miniature",4/12/2023,35506
Ladybird,Xoloitzcuintli,4/12/2023,35504
Heidi,Pomeranian,4/12/2023,35518
Skittles,Hound,4/12/2023,
Zilla,Shiba Inu,4/12/2023,35510
Tux,Portuguese Water Dog,4/13/2023,36991
Amendoim,Havanese,4/13/2023,36995
Winnie,Boxer,4/13/2023,36993
Luna,"Mixed Breed, Medium (up to 44 lbs fully grown)",4/13/2023,33059
Collins Demarcus Alonzo Patterson - Ahouangonou,"Retriever, Labrador",4/13/2023,36992
Alta (fka Stella),Shepherd,4/13/2023,36996
BELLY,"Mixed Breed, Small (under 24 lbs fully grown)",4/13/2023,36994
Dak,"Bulldog, French",4/14/2023,29553
Charlie,Greater Swiss Mountain Dog,4/14/2023,
Milkshake,"Mixed Breed, Large (over 44 lbs fully grown)",4/14/2023,36989
Tara,Beagle,4/14/2023,
Rio,Great Pyrenees,4/14/2023,33714
Missy,"Terrier, Jack Russell",4/14/2023,
Gem,"Terrier, American Staffordshire",4/14/2023,33121
Tanner,Shepherd,4/14/2023,
Remi Chevalier-Theiss,"Spaniel, Cavalier King Charles",4/17/2023,
Biscuit,"Terrier, Rat",4/17/2023,
MAYA,Doberman Pinscher,4/19/2023,36985
Obi-Wan Kedoodle,"Poodle, Miniature",4/19/2023,36975
Lorenzo Patrick,"Welsh Corgi, Pembroke",4/19/2023,36987
Buddy,Beagle,4/19/2023,36986
Rouge,"Retriever, Labrador",4/19/2023,36974
Sadaharu,"Mixed Breed, Large (over 44 lbs fully grown)",4/19/2023,
Newman,"Spaniel, English Springer",4/19/2023,36982
Crispin's Crispian,"Schnauzer, Standard",4/19/2023,36981
LUCHA  Dellaporta,"Poodle, Standard",4/19/2023,36980
Remy,"Terrier, American Staffordshire",4/19/2023,36973
Sookie,"Retriever, Labrador",4/19/2023,36979
Remy,Boxer,4/19/2023,36983
Shadow,"Retriever, Labrador",4/19/2023,36978
Honey,Feist,4/19/2023,36988
Artie,"Retriever, Nova Scotia Duck Tolling",4/19/2023,36984
Beau,"Poodle, Toy",4/19/2023,36976
Hailey,German Shepherd,4/19/2023,36977
Daisy Boo,"Mixed Breed, Medium (up to 44 lbs fully grown)",4/19/2023,
Shadow,"Spaniel, American Cocker",4/19/2023,
Polly,"Mixed Breed, Large (over 44 lbs fully grown)",4/19/2023,
Hayden,Korean Jindo,4/20/2023,36971
Otto,"Retriever, Golden",4/20/2023,36990
Jessie,"Retriever, Labrador",4/20/2023,36972
Sawyer,"Retriever, Golden",4/20/2023,36970
Charlie,Shih Tzu,4/20/2023,36968
Sammy,Beagle,4/20/2023,
Soleil,Australian Shepherd,4/20/2023,
Finn,"Retriever, Golden",4/20/2023,36969
Colby,Border Collie,4/21/2023,31321
Pancake,Shiba Inu,4/21/2023,
Maeve,"Spaniel, Cavalier King Charles",4/21/2023,36966
LUCY,Chihuahua,4/21/2023,36967
Sky,"Mixed Breed, Large (over 44 lbs fully grown)",4/21/2023,36964
Finnegan,Beagle,4/21/2023,36961
Georgie,"Spaniel, Cavalier King Charles",4/21/2023,36965
Thaddeus (Teddy) (formerly known as Sam),Doberman Pinscher,4/23/2023,
Clancy,Maltese,4/23/2023,
Bailey,"Spaniel, English Cocker",4/23/2023,
BG Cruz,Siberian Husky,4/24/2023,25086
Chloe,"Foxhound, American",4/24/2023,
Layla Cruz,Siberian Husky,4/24/2023,27770
Dory Cobb-Jackson,"Mixed Breed, Small (under 24 lbs fully grown)",4/24/2023,
LOUIE,Terrier,4/25/2023,
Nola,"Terrier, Pit Bull",4/26/2023,36959
Norman,Feist,4/26/2023,36955
Scooter,"Retriever, Golden",4/26/2023,33198
Alma,Siberian Husky,4/26/2023,36946
Denali,Australian Shepherd,4/26/2023,36963
Peaches,Great Dane,4/26/2023,36962
Iggy,"Mixed Breed, Medium (up to 44 lbs fully grown)",4/26/2023,36960
Taz,Papillon,4/26/2023,
Bija,Belgian Tervuren,4/26/2023,36942
Dionn,"Terrier, American Pit Bull",4/26/2023,36949
Daffodil,Australian Cattle Dog,4/26/2023,36954
Angus,"Terrier, Scottish",4/26/2023,36944
ACE,"Terrier, English Staffordshire",4/26/2023,36948
Mookie,Shih Tzu,4/26/2023,36950
Marla Hooch,"Mixed Breed, Medium (up to 44 lbs fully grown)",4/26/2023,
Artemis,Dutch Shepherd,4/26/2023,36947
Dugan,"Mixed Breed, Large (over 44 lbs fully grown)",4/26/2023,
Quincy,"Terrier, Boston",4/26/2023,36957
Lily,Korean Jindo,4/26/2023,
Issa,Mix,4/26/2023,36958
Lyra,"Bulldog, French",4/26/2023,36956
Trenton,Beagle,4/26/2023,36951
Athena,Siberian Husky,4/26/2023,33530
Blossom,"Terrier, American Pit Bull",4/26/2023,36945
Chester,Beagle,4/26/2023,
Rocky,Retriever,4/26/2023,36952
Woody,"Retriever, Golden",4/26/2023,36953
Milo (formerly Duke),"Retriever, Labrador",4/26/2023,36943
Gizmo,Chihuahua,4/27/2023,25556
Chewie,"Retriever, Labrador",4/27/2023,36937
Bryce,Border Collie,4/27/2023,36936
Raspberry,Irish Wolfhound,4/27/2023,36939
Tai,Terrier,4/27/2023,
Paw Paw,Australian Cattle Dog,4/27/2023,36938
Migo (aka Johnny B. Goode - adoption agency name),"Retriever, Labrador",4/27/2023,36934
Luxanna,"Retriever, Labrador",4/27/2023,36940
Paw Paw,"Terrier, Pit Bull",4/27/2023,36935
Sadie,"Retriever, Golden",4/27/2023,36941
Salvatore (Sal) Pecorino Carter,"Terrier, Pit Bull",4/28/2023,36928
Scout,"Poodle, Standard",4/28/2023,36930
Sadie,Catahoula Leopard dog,4/28/2023,33527
Brendan II,"Retriever, Flat-Coated",4/28/2023,
Mimi (Sneepee),Chihuahua,4/28/2023,34452
Piglet,"Mixed Breed, Medium (up to 44 lbs fully grown)",4/28/2023,36929
Šúnka,Mix,4/28/2023,36933
Clover,"Terrier, Pit Bull",4/28/2023,36932
Oliver,Chihuahua,4/28/2023,34451
Darcy,Olde English Bulldogge,4/30/2023,
Juneau,"Welsh Corgi, Pembroke",4/30/2023,
Buddy,German Shepherd,4/30/2023,
Angel,"Mixed Breed, Large (over 44 lbs fully grown)",4/30/2023,
Sally,"Mixed Breed, Large (over 44 lbs fully grown)",4/30/2023,
Olive,Shih Tzu,4/30/2023,
Spot,Bulldog,5/1/2023,
Bijilo,Belgian Malinois,5/1/2023,
Cooper,"Retriever, Golden",5/2/2023,33701
Maxine or Maxi,"Retriever, Labrador",5/2/2023,
Lincoln,"Retriever, Golden",5/3/2023,36912
Marla,German Shepherd,5/3/2023,36920
Layla,"Mixed Breed, Large (over 44 lbs fully grown)",5/3/2023,36926
Snickers,Beagle,5/3/2023,36921
Ricola,"Retriever, Golden",5/3/2023,36923
Zuli,Australian Shepherd,5/3/2023,36925
Dot,Karelian Bear Dog,5/3/2023,36918
Lacie,"Retriever, Labrador",5/3/2023,36914
Olive,Beagle,5/3/2023,36916
Perry,Retriever,5/3/2023,36911
Pearl (formerly Maddy at rescue org),"Retriever, Labrador",5/3/2023,36924
Mochi,Boxer,5/3/2023,
Ometz Lev,Feist,5/3/2023,36931
Gadget,Mix,5/3/2023,36915
Julee,Australian Cattle Dog,5/3/2023,36913
Gifford (FKA Blue),German Shepherd,5/3/2023,36917
Gracie (called Mamie by rescue org),"Foxhound, American",5/3/2023,36919
Harry,Basenji,5/3/2023,
Tucker,"Retriever, Golden",5/3/2023,36922
Joy,"Terrier, Rat",5/3/2023,36927
Penny,"Retriever, Labrador",5/4/2023,
Evie,Bulldog,5/4/2023,
Zesty,"Terrier, Fox, Wire",5/4/2023,
Ike,"Terrier, Cairn",5/4/2023,
Teddy,"Spaniel, English Cocker",5/4/2023,
Ramona,"Retriever, Labrador",5/4/2023,36910
Nena,Terrier,5/4/2023,36909
Parsley,Terrier,5/5/2023,36902
Sunny,Chihuahua,5/5/2023,33531
Lola,"Bulldog, French",5/5/2023,36903
Foxy,Australian Shepherd,5/5/2023,33535
Trinity,Basenji,5/7/2023,34354
Venus Williams,Basenji,5/7/2023,34355
Ranger,Border Collie,5/8/2023,
Truffle,"Mixed Breed, Medium (up to 44 lbs fully grown)",5/8/2023,
Nina,Beagle,5/9/2023,
Zorro,"Terrier, Bull",5/9/2023,
Reba,Bernese Mountain Dog,5/10/2023,36805
Kozmo (Re-homed Dog formally Cosmo),Rhodesian Ridgeback,5/10/2023,36802
Boudreaux,"Mixed Breed, Large (over 44 lbs fully grown)",5/10/2023,
Ellie,"Welsh Corgi, Pembroke",5/10/2023,
Chloe,Boxer,5/10/2023,36804
Hazel,"Terrier, Jack Russell",5/10/2023,36806
Hudson,"Spaniel, English Springer",5/10/2023,36908
Mega,Olde English Bulldogge,5/10/2023,36906
Jed Bartlet,Portuguese Water Dog,5/10/2023,36904
Rigby,"Retriever, Golden",5/10/2023,36907
Hamilton,"Terrier, Boston",5/10/2023,36801
Poptart,Pointer,5/10/2023,36807
Anya Diamond (previously named Dipper),"Retriever, Labrador",5/10/2023,36905
Shasta,"Retriever, Labrador",5/10/2023,36808
Mavis,Basset Hound,5/10/2023,36803
Duke,Beagle,5/11/2023,
Zoey,Chihuahua,5/11/2023,
mcgee,Mix,5/11/2023,25380
Sailor,"Terrier, Pit Bull",5/11/2023,
Joanne,Boxer,5/11/2023,36811
Churro,"Spaniel, Cavalier King Charles",5/11/2023,36809
Bonnie,Bichon Frise,5/11/2023,36812
Milo,Border Collie,5/11/2023,36810
Moana,Feist,5/11/2023,33670
casino,Mix,5/11/2023,25384
Brooklyn Myers,"Mixed Breed, Large (over 44 lbs fully grown)",5/11/2023,25145
Stella,"Mixed Breed, Large (over 44 lbs fully grown)",5/12/2023,
Wilbur J Penn,Great Dane,5/12/2023,36818
Bruce Loftus,"Mixed Breed, Large (over 44 lbs fully grown)",5/12/2023,36813
Stella,"Mixed Breed, Medium (up to 44 lbs fully grown)",5/12/2023,36816
Riley,"Terrier, American Staffordshire",5/12/2023,36814
Gucci,Shih Tzu,5/12/2023,36815
Gibson,"Retriever, Labrador",5/12/2023,
Blanche,"Mixed Breed, Large (over 44 lbs fully grown)",5/12/2023,
Milani,"Terrier, American Pit Bull",5/15/2023,
Scarlet,"Spaniel, American Cocker",5/15/2023,33679
Finney,Chihuahua,5/15/2023,
Theo,"Terrier, Cairn",5/15/2023,
Jasper Johns,Mix,5/15/2023,
Steinbeck,Chihuahua,5/16/2023,
Chaya Watkins,"Foxhound, American",5/16/2023,
Berkeley,"Retriever, Golden",5/17/2023,
Dobby,"Mixed Breed, Medium (up to 44 lbs fully grown)",5/18/2023,36824
Duchess,"Terrier, Staffordshire Bull",5/18/2023,36827
Sayde Schamis,German Shepherd,5/18/2023,36821
Oreo,"Schnauzer, Standard",5/18/2023,36826
Atticus,German Shepherd,5/18/2023,36831
Penny Lane,"Welsh Corgi, Pembroke",5/18/2023,36822
Bergy,Greyhound,5/18/2023,
Aska,"Poodle, Standard",5/18/2023,36825
Eiger,Entlebucher Mountain Dog,5/18/2023,36829
Sawyer,"Terrier, Jack Russell",5/18/2023,36830
Reuben,"Retriever, Golden",5/18/2023,36817
Deuce,"Coonhound, Treeing Walker",5/18/2023,36823
Tuukka Raskal,"Terrier, Pit Bull",5/18/2023,36833
Gizmo,"Bulldog, French",5/18/2023,36832
Karma,Feist,5/19/2023,
Beebee,"Dachshund, Standard Smooth Haired",5/21/2023,
Luna,"Retriever, Golden",5/21/2023,
Eevee,"Retriever, Golden",5/22/2023,33499
Lady McGruff,Chinese Crested,5/22/2023,
Boston,"Mixed Breed, Large (over 44 lbs fully grown)",5/22/2023,
Ella,"Mixed Breed, Small (under 24 lbs fully grown)",5/22/2023,36819
McGruff,Chinese Crested,5/22/2023,
Luna,"Retriever, Labrador",5/23/2023,33794
Bali,Old English Sheepdog,5/24/2023,36847
Rolo,"Poodle, Standard",5/24/2023,36843
Ru,Kangal,5/24/2023,13615
Matilda,"Retriever, Labrador",5/24/2023,36852
Meiko,"Terrier, Pit Bull",5/24/2023,
Sister,"Poodle, Miniature",5/24/2023,36836
Blue,"Retriever, Labrador",5/24/2023,36844
Marley,Retriever,5/24/2023,36838
Leif,"Mixed Breed, Large (over 44 lbs fully grown)",5/24/2023,36850
Dee,Boxer,5/24/2023,36848
Zorro,Shiba Inu,5/24/2023,36837
Monkey,"Mixed Breed, Medium (up to 44 lbs fully grown)",5/24/2023,36835
Gretl,"Dachshund, Miniature Wire Haired",5/24/2023,36845
Lilac Gin,"Terrier, American Pit Bull",5/24/2023,28309
Otis,Basset Hound,5/24/2023,36846
Lucy,"Retriever, Labrador",5/24/2023,36851
Fennec,Shepherd,5/24/2023,36834
Kiwi,"Australian Shepherd, Miniature",5/24/2023,36839
Lake,"Retriever, Labrador",5/24/2023,36840
Hobart,"Mixed Breed, Large (over 44 lbs fully grown)",5/24/2023,36842
Marmite,"Retriever, Labrador",5/24/2023,36841
Finnley,Greyhound,5/24/2023,36849
Bailey,German Shepherd,5/25/2023,36855
Mookie,"Mixed Breed, Medium (up to 44 lbs fully grown)",5/25/2023,33567
Padfoot (ESA but service dog in training),Mix,5/25/2023,36854
Luna,"Retriever, Labrador",5/25/2023,36853
Bo,Chihuahua,5/26/2023,36856
Ricky,Terrier,5/26/2023,36857
Diamond,"Mixed Breed, Large (over 44 lbs fully grown)",5/28/2023,
Kilo,"Retriever, Labrador",5/28/2023,33750
Thea,"Retriever, Labrador",5/29/2023,
Shamrock,"Mixed Breed, Small (under 24 lbs fully grown)",5/29/2023,
Hudson,"Mixed Breed, Large (over 44 lbs fully grown)",5/30/2023,29183
Cheddar,"Retriever, Labrador",5/30/2023,
Pinky,"Bulldog, French",5/31/2023,36859
Munchkin,"Mixed Breed, Medium (up to 44 lbs fully grown)",5/31/2023,36868
Lena,Havanese,5/31/2023,36863
Beau,"Brittany, French",5/31/2023,36867
Milo Jefferson,Anatolian Shepherd,5/31/2023,36865
Kiko,Havanese,5/31/2023,36861
Lily,Mix,5/31/2023,36862
Laika,"Australian Shepherd, Miniature",5/31/2023,36860
Katsu,German Shepherd,5/31/2023,36866
Goose,"Retriever, Golden",5/31/2023,36864
Maverick Rabalac Coward,Shih Tzu,5/31/2023,
Asai,Havanese,6/1/2023,36872
Ginger Froufrou,Pomeranian,6/1/2023,36873
Mazi,Beagle,6/1/2023,36870
Daryl (formerly known as Sprout),"Mixed Breed, Large (over 44 lbs fully grown)",6/1/2023,36869
Azula,Greater Swiss Mountain Dog,6/1/2023,36874
Jessie,"Mixed Breed, Medium (up to 44 lbs fully grown)",6/1/2023,36871
Hagrid,Terrier,6/2/2023,36876
lola,"Terrier, West Highland White",6/2/2023,36879
Kiké,Beagle,6/2/2023,36880
Ryder,Mix,6/2/2023,36881
Pru,Terrier,6/2/2023,36878
Maggie,Hound,6/2/2023,36875
Bailey,"Welsh Corgi, Pembroke",6/2/2023,
Wilbur,"Mixed Breed, Medium (up to 44 lbs fully grown)",6/2/2023,36877
Shakespeare,Mix,6/5/2023,
Magnolia,"Retriever, Golden",6/5/2023,
Milo,"Welsh Corgi, Pembroke",6/5/2023,22432
Orion Warrior King Ortiz,"Spaniel, English Cocker",6/5/2023,
Yoshi,Belgian Malinois,6/5/2023,
King,Shih Tzu,6/5/2023,
Penelope,"Welsh Corgi, Pembroke",6/5/2023,22431
Levi,"Terrier, American Staffordshire",6/5/2023,
Phoenix,"Terrier, American Staffordshire",6/5/2023,
Chip,"Mixed Breed, Medium (up to 44 lbs fully grown)",6/5/2023,
Gunther,German Shepherd,6/5/2023,
Blossom,"Poodle, Miniature",6/6/2023,
Lily,"Spaniel, American Cocker",6/6/2023,
Jinx Olson Jones,"Terrier, Pit Bull",6/6/2023,
Gracie Mae,"Spaniel, American Cocker",6/6/2023,
Honey,Boxer,6/6/2023,
Riley,Beagle,6/7/2023,36700
Gus,"Terrier, Pit Bull",6/7/2023,36891
Waffle,Bichon Frise,6/7/2023,36889
Brownie,"Mixed Breed, Large (over 44 lbs fully grown)",6/7/2023,36882
Ghost,Samoyed,6/7/2023,36697
Muxen A. Millón,Australian Shepherd,6/7/2023,36899
Sir Kenobi,Mix,6/7/2023,36897
Lupe,Pug,6/7/2023,36894
Mack,"Spaniel, Welsh Springer",6/7/2023,36698
Libby,"Poodle, Standard",6/7/2023,33791
Jasmine,"Bulldog, French",6/7/2023,36887
Beau,"Retriever, Labrador",6/7/2023,36895
Percy,Australian Cattle Dog,6/7/2023,36900
Winny,Greyhound,6/7/2023,33835
Fitzgerald (Fitz),"Bulldog, French",6/7/2023,36893
Ziggy,"Terrier, Boston",6/7/2023,36883
Jax,Siberian Husky,6/7/2023,36888
Jordan,"Retriever, Labrador",6/7/2023,36885
Koda,"Retriever, Golden",6/7/2023,36892
Harper,Anatolian Shepherd,6/7/2023,36898
Nacho,"Bulldog, French",6/7/2023,36884
Ruby,"Spaniel, Cavalier King Charles",6/7/2023,36896
Bella Pauline,"Spaniel, Cavalier King Charles",6/7/2023,36886
Artemus,Maltese,6/7/2023,36890
Josie,Retriever,6/8/2023,36694
Sela,"Coonhound, Treeing Walker",6/8/2023,36693
Selena,"Retriever, Golden",6/8/2023,36695
Rosie,"Chihuahua, Short Coat",6/8/2023,28952
Hei Bai,Basenji,6/9/2023,36696
Bessie,German Shepherd,6/9/2023,
Puma,"Retriever, Labrador",6/11/2023,
JayJ,Spaniel,6/12/2023,
Fargo,Beagle,6/12/2023,1370
Lulu,"Dachshund, Miniature Smooth Haired",6/12/2023,
Cabo,Plott Hound,6/12/2023,
zazo,German Shepherd,6/13/2023,36699
Dottie,Chihuahua,6/13/2023,33634
Riley,"Poodle, Standard",6/14/2023,25052
Bando,German Shepherd,6/14/2023,36681
Ponyo,Spaniel,6/14/2023,36687
Kiki,Spaniel,6/14/2023,36692
Percy,"Mixed Breed, Medium (up to 44 lbs fully grown)",6/14/2023,36690
Heimdall,Korean Jindo,6/14/2023,36677
Sky,"Schnauzer, Standard",6/14/2023,36684
Carter,"Welsh Corgi, Cardigan",6/14/2023,36679
Nellie Peterson Abraham,"Terrier, Jack Russell",6/14/2023,36678
Toby Busbee,Beagle,6/14/2023,36680
Midnight,Mastiff,6/14/2023,36683
Milo,"Schnauzer, Miniature",6/14/2023,36682
Rylee,Retriever,6/14/2023,36676
Sophie,Terrier,6/14/2023,36685
Comet,"Terrier, Rat",6/14/2023,36675
Maple,Shepherd,6/14/2023,36691
Schatzi,German Shepherd,6/14/2023,36686
Bagel,"Bulldog, French",6/14/2023,36688
Phoebe,German Shepherd,6/14/2023,36689
Figo,Portuguese Water Dog,6/15/2023,
Max,"Vizsla, Wire Haired",6/15/2023,36671
Gimli,"Mixed Breed, Small (under 24 lbs fully grown)",6/15/2023,36668
Louis,"Terrier, Boston",6/15/2023,36670
Burt,"Schnauzer, Miniature",6/15/2023,36674
Cocoa,Chihuahua,6/15/2023,36669
Daisy,"Spaniel, American Cocker",6/15/2023,36672
Babar Milo,"Poodle, Miniature",6/15/2023,36667
Waterfall,Samoyed,6/15/2023,36673
Scooby,"Retriever, Labrador",6/15/2023,36666
Rogan,"Spaniel, Cavalier King Charles",6/15/2023,
Bristow,"Terrier, Pit Bull",6/16/2023,36665
Lana,Spaniel,6/16/2023,
Zeke,"Bulldog, French",6/16/2023,36664
Mia,"Terrier, Staffordshire Bull",6/16/2023,36662
Chewie,"Spaniel, English Cocker",6/16/2023,36663
Abby,Australian Cattle Dog,6/19/2023,
Hayden,"Mixed Breed, Large (over 44 lbs fully grown)",6/19/2023,
Roscoe,"Retriever, Labrador",6/19/2023,
Bernie,"Mixed Breed, Large (over 44 lbs fully grown)",6/19/2023,
Mikey,"Mixed Breed, Large (over 44 lbs fully grown)",6/19/2023,
Leo Wolf,"Welsh Corgi, Pembroke",6/19/2023,35339
Randy,German Shepherd,6/19/2023,
Petal,"Poodle, Standard",6/19/2023,
Leya,Shepherd,6/20/2023,33720
Lou,"Mixed Breed, Large (over 44 lbs fully grown)",6/21/2023,36649
Roy,"Mixed Breed, Small (under 24 lbs fully grown)",6/21/2023,36652
Penny Eclair,Retriever,6/21/2023,36660
Koa Ke Kai,"Retriever, Labrador",6/21/2023,36661
Bogie,"Welsh Corgi, Pembroke",6/21/2023,36650
Ruby,"Australian Shepherd, Miniature",6/21/2023,36657
Samson,Chihuahua,6/21/2023,36646
Castaña,"Mixed Breed, Small (under 24 lbs fully grown)",6/21/2023,36647
Rosie,"Spaniel, Welsh Springer",6/21/2023,36651
Maple,"Mixed Breed, Large (over 44 lbs fully grown)",6/21/2023,36655
Papa Smurf,Saint Bernard,6/21/2023,36654
Birdie,"Mixed Breed, Medium (up to 44 lbs fully grown)",6/21/2023,36656
Teddy,"Poodle, Standard",6/21/2023,36659
Dylan,"Retriever, Labrador",6/21/2023,36658
Phoebe,Border Collie,6/21/2023,36653
Kashi,"Mixed Breed, Small (under 24 lbs fully grown)",6/21/2023,36648
Lara,German Shepherd,6/22/2023,23078
Rose,"Retriever, Labrador",6/22/2023,
Calla Bishop,Weimaraner,6/22/2023,36645
Juniper,Chihuahua,6/22/2023,
Sunset,"Retriever, Labrador",6/22/2023,
Oreo Bishop,Border Collie,6/22/2023,36644
Nola,Cane Corso,6/22/2023,23079
Sophie,"Retriever, Labrador",6/22/2023,36643
Rizzo,Papillon,6/22/2023,23080
Gromit,"Poodle, Toy",6/23/2023,36642
Bolt,Doberman Pinscher,6/23/2023,36639
Milo,Border Collie,6/23/2023,36640
Charles,English Shepherd,6/23/2023,
Suki,"Australian Shepherd, Miniature",6/23/2023,
Layla,Beagle,6/23/2023,34392
Oaky,Pomeranian,6/23/2023,36641
Mandu,Boxer,6/25/2023,
Abe,Beagle,6/25/2023,
Buddy,Chihuahua,6/25/2023,
Sadie,"Retriever, Labrador",6/25/2023,
Katie,Australian Shepherd,6/25/2023,
Charlie,Shepherd,6/25/2023,33787
Chummy,"Poodle, Miniature",6/25/2023,
Luca,"Vizsla, Smooth Haired",6/26/2023,
Ella,"Mixed Breed, Small (under 24 lbs fully grown)",6/27/2023,
ZUMA,German Shepherd,6/27/2023,
Winnie,"Retriever, Golden",6/27/2023,
Lomachenko,"Mixed Breed, Medium (up to 44 lbs fully grown)",6/28/2023,36621
Cash Dongmo,Lancashire Heeler,6/28/2023,36636
Manja,"Mixed Breed, Medium (up to 44 lbs fully grown)",6/28/2023,36632
Luna,Boxer,6/28/2023,36628
Roo,"Australian Shepherd, Miniature",6/28/2023,36630
Phil,Chihuahua,6/28/2023,29237
Charlie (Jack),"Foxhound, American",6/28/2023,36633
Ziggy,"Dachshund, Miniature Long Haired",6/28/2023,36638
Nash Stone Dutter,"Retriever, Labrador",6/28/2023,36622
Barney,"Coonhound, Treeing Walker",6/28/2023,36623
Ding Dong (Alex),Australian Cattle Dog,6/28/2023,36634
Puck Flash,"Poodle, Miniature",6/28/2023,36627
Milo,Beagle,6/28/2023,36626
Rhea,Border Collie,6/28/2023,36635
Louise (Name on papers is Rushview Riot),Greyhound,6/28/2023,36625
Finnegan,"Schnauzer, Miniature",6/28/2023,36637
Cru,Shepherd,6/28/2023,36624
Birkin The Dog,Anatolian Shepherd,6/28/2023,
Archie Keena,"Collie, Smooth",6/28/2023,36631
Rusty,"Mixed Breed, Small (under 24 lbs fully grown)",6/28/2023,36629
Daenerys,Great Dane,6/28/2023,
Jasmine,"Terrier, Staffordshire Bull",6/29/2023,36620
Karma,Beauceron,6/29/2023,36618
Rodham,"Mixed Breed, Medium (up to 44 lbs fully grown)",6/29/2023,36619
Micah,Whippet,6/29/2023,36617
Lila Ventura Majano,"Chihuahua, Short Coat",6/29/2023,36615
Nash,"Mixed Breed, Large (over 44 lbs fully grown)",6/29/2023,36616
Taffy,Pug,6/29/2023,
Daimy Ventura Majano,"Chihuahua, Long Coat",6/29/2023,36614
Sprout,Border Collie,6/30/2023,
Knox,"Schnauzer, Miniature",6/30/2023,